API Provider,Model Creator,Model,Version,Variant,Input Threshold,Input,Output,Input Cached,Input Cache Threshold,Input Cache Increment,Input Cache Storage,Output Cache,Pricing Page,Versions Page
Google,Google,Gemini 1.5 Flash,gemini-1.5-flash-001,default,0,0.0187500,0.0750000,0.0046875,0,1,0.2500000,0,https://cloud.google.com/vertex-ai/generative-ai/pricing,https://ai.google.dev/gemini-api/docs/models/gemini
Google,Google,Gemini 1.5 Flash,gemini-1.5-flash-001,default,128001,0.0375000,0.0750000,0.0093750,0,1,0.2500000,0,https://cloud.google.com/vertex-ai/generative-ai/pricing,https://ai.google.dev/gemini-api/docs/models/gemini
Google,Google,Gemini 1.5 Flash,gemini-1.5-flash-002,default,0,0.0187500,0.0750000,0.0046875,0,1,1.1250000,0,https://cloud.google.com/vertex-ai/generative-ai/pricing,https://ai.google.dev/gemini-api/docs/models/gemini
Google,Google,Gemini 1.5 Flash,gemini-1.5-flash-002,default,128001,0.0375000,0.0750000,0.0093750,0,1,1.1250000,0,https://cloud.google.com/vertex-ai/generative-ai/pricing,https://ai.google.dev/gemini-api/docs/models/gemini
Google,Google,Gemini 1.5 Pro,gemini-1.5-pro,default,0,0.3125000,6.2500000,0.0046875,0,1,1.1250000,0,https://cloud.google.com/vertex-ai/generative-ai/pricing,https://ai.google.dev/gemini-api/docs/models/gemini
Google,Google,Gemini 1.5 Pro,gemini-1.5-pro,default,128001,0.6250000,6.2500000,0.009375,0,1,1.1250000,0,https://cloud.google.com/vertex-ai/generative-ai/pricing,https://ai.google.dev/gemini-api/docs/models/gemini
Google,Google,Gemini 1.5 Pro,gemini-1.5-pro-001,default,0,0.3125000,6.2500000,0.0046875,0,1,1.1250000,0,https://cloud.google.com/vertex-ai/generative-ai/pricing,https://ai.google.dev/gemini-api/docs/models/gemini
Google,Google,Gemini 1.5 Pro,gemini-1.5-pro-001,default,128001,0.6250000,6.2500000,0.009375,0,1,1.1250000,0,https://cloud.google.com/vertex-ai/generative-ai/pricing,https://ai.google.dev/gemini-api/docs/models/gemini
Google,Google,Gemini 1.5 Pro,gemini-1.5-pro-002,default,0,0.3125000,6.2500000,0.0046875,0,1,1.1250000,0,https://cloud.google.com/vertex-ai/generative-ai/pricing,https://ai.google.dev/gemini-api/docs/models/gemini
Google,Google,Gemini 1.5 Pro,gemini-1.5-pro-002,default,128001,0.6250000,6.2500000,0.009375,0,1,1.1250000,0,https://cloud.google.com/vertex-ai/generative-ai/pricing,https://ai.google.dev/gemini-api/docs/models/gemini
Anthropic,Anthropic,Claude 3.5 Sonnet,claude-3-5-sonnet-latest,default,0,3.0000000,15.0000000,3.7500000,1024,1,0.0000000,,https://docs.anthropic.com/en/docs/about-claude/models,https://docs.anthropic.com/en/docs/build-with-claude/prompt-caching
Anthropic,Anthropic,Claude 3.5 Sonnet,claude-3-5-sonnet-20241022,default,0,3.0000000,15.0000000,3.7500000,1024,1,0.0000000,,https://docs.anthropic.com/en/docs/about-claude/models,https://docs.anthropic.com/en/docs/build-with-claude/prompt-caching
Anthropic,Anthropic,Claude 3.5 Haiku,claude-3-5-haiku-latest,default,0,1.0000000,5.0000000,1.2500000,2048,1,0.0000000,,https://docs.anthropic.com/en/docs/about-claude/models,https://docs.anthropic.com/en/docs/build-with-claude/prompt-caching
Anthropic,Anthropic,Claude 3.5 Haiku,claude-3-5-haiku-20241022,default,0,1.0000000,5.0000000,1.2500000,2048,1,0.0000000,,https://docs.anthropic.com/en/docs/about-claude/models,https://docs.anthropic.com/en/docs/build-with-claude/prompt-caching
Anthropic,Anthropic,Claude 3 Opus,claude-3-opus-latest,default,0,15.0000000,75.0000000,18.7500000,1024,1,0.0000000,,https://docs.anthropic.com/en/docs/about-claude/models,https://docs.anthropic.com/en/docs/build-with-claude/prompt-caching
Anthropic,Anthropic,Claude 3 Opus,claude-3-opus-20240229,default,0,15.0000000,75.0000000,18.7500000,1024,1,0.0000000,,https://docs.anthropic.com/en/docs/about-claude/models,https://docs.anthropic.com/en/docs/build-with-claude/prompt-caching
Anthropic,Anthropic,Claude 3 Haiku,claude-3-haiku-latest,default,0,0.2500000,1.2500000,0.3000000,2048,1,0.0000000,,https://docs.anthropic.com/en/docs/about-claude/models,https://docs.anthropic.com/en/docs/build-with-claude/prompt-caching
Anthropic,Anthropic,Claude 3 Haiku,claude-3-haiku-20240307,default,0,0.2500000,1.2500000,0.3000000,2048,1,0.0000000,,https://docs.anthropic.com/en/docs/about-claude/models,https://docs.anthropic.com/en/docs/build-with-claude/prompt-caching
Cohere,Cohere,Command R+,command-r-plus-08-2024,default,0,2.5000000,10.0000000,n/a,n/a,n/a,n/a,,https://cohere.com/pricing,https://docs.cohere.com/v2/docs/models
Cohere,Cohere,Command R,command-r-08-2024,default,0,0.1500000,0.6000000,n/a,n/a,n/a,n/a,,https://cohere.com/pricing,https://docs.cohere.com/v2/docs/models
Cohere,Cohere,Command R,command-r-08-2024,fine-tuned,0,0.3000000,1.2000000,n/a,n/a,n/a,n/a,,https://cohere.com/pricing,https://docs.cohere.com/v2/docs/models
Groq.com,Meta,Llama 3.2 1B (Preview) 8k,llama-3.2-1b-preview,default,0,0.0400000,0.0400000,n/a,n/a,n/a,n/a,,https://console.groq.com/docs/models,https://groq.com/pricing/
Groq.com,Meta,Llama 3.2 3B (Preview) 8k,llama-3.2-3b-preview,default,0,0.0600000,0.0600000,n/a,n/a,n/a,n/a,,https://console.groq.com/docs/models,https://groq.com/pricing/
Groq.com,Meta,Llama 3.1 70B Versatile 128k,llama-3.1-70b-versatile,default,0,0.5900000,0.7900000,n/a,n/a,n/a,n/a,,https://console.groq.com/docs/models,https://groq.com/pricing/
Groq.com,Meta,Llama 3.1 8B Instant 128k,llama-3.1-8b-instant,default,0,0.0500000,0.0800000,n/a,n/a,n/a,n/a,,https://console.groq.com/docs/models,https://groq.com/pricing/
Groq.com,Meta,Llama 3 70B 8k,llama3-70b-8192,default,0,0.5900000,0.7900000,n/a,n/a,n/a,n/a,,https://console.groq.com/docs/models,https://groq.com/pricing/
Groq.com,Meta,Llama 3 8B 8k,llama3-8b-8192,default,0,0.0500000,0.0800000,n/a,n/a,n/a,n/a,,https://console.groq.com/docs/models,https://groq.com/pricing/
Groq.com,Mistral,Mixtral 8x7B Instruct 32k,mixtral-8x7b-32768,default,0,0.2400000,0.2400000,n/a,n/a,n/a,n/a,,https://console.groq.com/docs/models,https://groq.com/pricing/
Groq.com,Google,Gemma 7B 8k Instruct,gemma-7b-it,default,0,0.0700000,0.0700000,n/a,n/a,n/a,n/a,,https://console.groq.com/docs/models,https://groq.com/pricing/
Groq.com,Google,Gemma 2 9B 8k,gemma2-9b-it,default,0,0.2000000,0.2000000,n/a,n/a,n/a,n/a,,https://console.groq.com/docs/models,https://groq.com/pricing/
Groq.com,Meta,Llama 3 Groq 70B Tool Use Preview 8k,llama3-groq-70b-8192-tool-use-preview,default,0,0.8900000,0.8900000,n/a,n/a,n/a,n/a,,https://console.groq.com/docs/models,https://groq.com/pricing/
Groq.com,Meta,Llama 3 Groq 8B Tool Use Preview 8k,llama3-groq-8b-8192-tool-use-preview,default,0,0.1900000,0.1900000,n/a,n/a,n/a,n/a,,https://console.groq.com/docs/models,https://groq.com/pricing/
Groq.com,Meta,Llama Guard 3 8B 8k,llama-guard-3-8b,default,0,0.2000000,0.2000000,n/a,n/a,n/a,n/a,,https://console.groq.com/docs/models,https://groq.com/pricing/
Replicate.com,IBM,IBM Granite,ibm-granite/granite-20b-code-instruct-8k,default,0,0.1000000,0.5000000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,IBM,IBM Granite,ibm-granite/granite-3.0-2b-instruct,default,0,0.0300000,0.2500000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,IBM,IBM Granite,ibm-granite/granite-3.0-8b-instruct,default,0,0.0500000,0.2500000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,IBM,IBM Granite,ibm-granite/granite-8b-code-instruct-128k,default,0,0.0500000,0.2500000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,Meta,LLama 2,meta/llama-2-13b,default,0,0.1000000,0.5000000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,Meta,LLama 2,meta/llama-2-13b-chat,default,0,0.1000000,0.5000000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,Meta,LLama 2,meta/llama-2-70b,default,0,0.6500000,2.7500000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,Meta,LLama 2,meta/llama-2-70b-chat,default,0,0.6500000,2.7500000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,Meta,LLama 2,meta/llama-2-7b,default,0,0.0500000,0.2500000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,Meta,LLama 2,meta/llama-2-7b-chat,default,0,0.0500000,0.2500000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,Meta,LLama 3.1,meta/meta-llama-3.1-405b-instruct,default,0,9.5000000,9.5000000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,Meta,LLama 3,meta/meta-llama-3-70b,default,0,0.6500000,2.7500000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,Meta,LLama 3,meta/meta-llama-3-70b-instruct,default,0,0.6500000,2.7500000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,Meta,LLama 3,meta/meta-llama-3-8b,default,0,0.0500000,0.2500000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,Meta,LLama 3,meta/meta-llama-3-8b-instruct,default,0,0.0500000,0.2500000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,Mistral,Mistral,mistralai/mistral-7b-instruct-v0.2,default,0,0.0500000,0.2500000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,Mistral,Mistral,mistralai/mistral-7b-vo.1,default,0,0.0500000,0.2500000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
Replicate.com,Mistral,Mixtral,mistralai/mixtral-8x7b-instruct-v0.1,default,0,0.3000000,1.0000000,n/a,n/a,n/a,n/a,,https://replicate.com/pricing,https://replicate.com/pricing
OpenRouter,Alibaba Cloud,Qwen 2.5,qwen/qwen-2.5-7b-instruct,default,0,0.2700000,0.2700000,,,,,,https://openrouter.ai/qwen/qwen-2.5-7b-instruct/api?utm_source=chatgpt.com,https://openrouter.ai/qwen/qwen-2.5-7b-instruct/api?utm_source=chatgpt.com
